IDA ID	IDA Text	Unique Proteins	Representative Accession	Representative Length	Representative Domains
9eb0ee88ad2c53becd6ace76de64faecdae66a20	PF03477:IPR005144-PF00317:IPR013509-PF02867:IPR000788	19185	P12848	771	PF03477{ATP-cone}:IPR005144{ATP-cone_dom}[1-89],PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[142-212],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[216-736]
d2c787b53bd3922a477fb2809b50ef9fdf8c1776	PF00317:IPR013509-PF02867:IPR000788	15069	P03190	826	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[92-181],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[185-726]
681d5df1068186b57b5a7a059fdbd38b91b4f8bc	PF08343:IPR013554-PF00317:IPR013509-PF02867:IPR000788	8072	P47473	721	PF08343{RNR_N}:IPR013554{RNR_N}[19-95],PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[99-170],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[174-696]
d3ffede0e00ddbbad983007c0aff1f82e2f3a9bb	PF00317:IPR013509-PF02867:IPR000788-PF02867:IPR000788	3438	O26748	703	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[4-80],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[85-527],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[535-677]
f35752c3f02e5301ed080b053905780b14d9afc5	PF03477:IPR005144-PF03477:IPR005144-PF00317:IPR013509-PF02867:IPR000788	1578	Q9Z6S5	1044	PF03477{ATP-cone}:IPR005144{ATP-cone_dom}[10-108],PF03477{ATP-cone}:IPR005144{ATP-cone_dom}[119-214],PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[376-450],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[454-990]
f8948329d197d18057a3f80b8275c6dad5828e06	PF03477:IPR005144-PF00317:IPR013509-PF02867:IPR000788-PF02867:IPR000788	591	Q4S8W6	898	PF03477{ATP-cone}:IPR005144{ATP-cone_dom}[62-113],PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[166-236],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[240-315],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[331-844]
4ae41c2d60eb0b15bdd497f84d38295c975ce02b	PF00317:IPR013509-PF02867:IPR000788-PF02867:IPR000788-PF12637:IPR024434	574	Q39W41	742	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[13-93],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[96-409],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[415-562],PF12637{TSCPD}:IPR024434{TSCPD_dom}[605-695]
1a668d6da871cea4653eadb5349b0a84034a9c30	PF00317:IPR013509-PF02867:IPR000788-PF02867:IPR000788-PF02867:IPR000788	567	Q8PT87	553	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[7-73],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[76-205],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[210-383],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[384-538]
c661c1f064f322e65c4598c6ee0d368329bf0294	PF00317:IPR013509-PF02867:IPR000788-PF12637:IPR024434	503	Q74C05	743	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[14-94],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[97-563],PF12637{TSCPD}:IPR024434{TSCPD_dom}[606-696]
e14a746bf045180a121f31e23e90bdf54e93870b	PF00317:IPR013509	425	Q50104	60	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[19-46]
7537950d55c33c197a919f62f4c53ee5a9be8bc6	PF00317:IPR013509-PF02867:IPR000788-PF14890-PF14528:IPR004860	264	Q9RRW1	1418	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[80-151],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[350-1188],PF14890{Intein_splicing}[564-890],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[732-829]
52973c2635d2347b876c6570773053b633fb7792	PF00317:IPR013509-PF02867:IPR000788-PF14528:IPR004860	260	Q122S1	1189	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[17-83],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[91-966],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[523-616]
ec518348b82f7ea742b866e9bc648be56358fd6d	PF03477:IPR005144-PF00317:IPR013509	207	Q65357	216	PF03477{ATP-cone}:IPR005144{ATP-cone_dom}[1-88],PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[133-201]
8c96d41195c6baaf289dba0827432e945352c158	PF00317:IPR013509-PF02867:IPR000788-PF14528:IPR004860-PF02867:IPR000788	161	O55716	959	PF00317{Ribonuc_red_lgN}:IPR013509{RNR_lsu_N}[13-77],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[83-715],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[461-520],PF02867{Ribonuc_red_lgC}:IPR000788{RNR_lg_C}[734-892]
